样点地价,级别,功能分,等级,面积_1,折现年份,设定功能分,贴现系数,等级_1,级别价,距车站距离,级别价评估,区片价评估,测算容积率,用途_E,乡镇名称_E,名称_E,规划用途_E,开发程度_E,规划用途_1_E,开发程度_1_E,分类_E,主要区域_E,DLBM_E,DLMC_E,ZLDWMC_E,BZ_E,用途_1_E,区片_E,容积率_1_E,商服评价_E,市场评价_E,车站评价_E,银行评价_E,文娱评价_E,评估用途_E
4453.00,1.00,100.00,2.00,16354.83,0.00,60.00,1.00,2.00,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
4560.00,1.00,100.00,1.00,199768.52,8.05,61.20,0.62,0.28,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
4519.00,1.00,100.00,1.00,4610.92,0.00,70.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
4080.00,1.00,100.00,1.00,90163.43,0.00,70.00,1.00,1.00,890.00,0.00,890.00,0.00,3.50,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,9.00,9.00,65.00,4.00,2.00,17.00,28.00,7.00,2.00,2.00,2.00,2.00,8.00
3983.00,1.00,100.00,1.00,90163.43,0.00,70.00,1.00,1.00,890.00,0.00,890.00,0.00,3.50,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,9.00,9.00,65.00,4.00,2.00,17.00,28.00,7.00,2.00,2.00,2.00,2.00,8.00
4150.00,1.00,100.00,1.00,90163.43,0.00,70.00,1.00,1.00,2695.00,500.00,2460.00,2695.00,2.50,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,14.00,14.00,65.00,5.00,5.00,38.00,31.00,6.00,5.00,3.00,6.00,4.00,15.00
3721.00,1.00,100.00,2.00,22139.84,0.00,80.00,1.00,2.00,2388.00,300.00,3990.00,4200.00,4.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,32.00,7.00,7.00,7.00,9.00,2.00,13.00
3910.00,1.00,100.00,2.00,22139.84,0.00,80.00,1.00,2.00,2388.00,300.00,3990.00,4200.00,4.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,32.00,7.00,7.00,7.00,9.00,2.00,13.00
3813.00,1.00,100.00,1.00,204084.26,8.05,73.90,0.62,0.28,2388.00,600.00,3990.00,4200.00,7.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,33.00,7.00,7.00,5.00,9.00,2.00,13.00
3910.00,1.00,100.00,1.00,204823.53,8.05,74.20,0.62,0.28,2388.00,600.00,3990.00,4200.00,4.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,32.00,7.00,7.00,5.00,9.00,2.00,13.00
3983.00,1.00,100.00,1.00,90163.43,0.00,70.00,1.00,1.00,2250.00,440.00,2680.00,2250.00,2.50,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,12.00,12.00,65.00,3.00,4.00,29.00,31.00,8.00,6.00,7.00,7.00,2.00,13.00
3716.00,1.00,100.00,1.00,213562.57,8.05,74.40,0.62,0.28,2388.00,700.00,3990.00,3825.00,4.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,32.00,7.00,7.00,5.00,9.00,2.00,13.00
3910.00,1.00,100.00,1.00,211605.82,8.05,55.00,0.62,0.28,890.00,0.00,890.00,0.00,1.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,7.00,7.00,65.00,4.00,2.00,17.00,30.00,7.00,2.00,2.00,2.00,2.00,7.00
3619.00,1.00,100.00,1.00,208941.49,8.05,55.00,0.62,0.28,890.00,0.00,890.00,0.00,1.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,7.00,7.00,65.00,4.00,2.00,17.00,30.00,7.00,2.00,2.00,2.00,2.00,7.00
2374.00,3.00,50.00,4.00,27541.64,0.00,50.00,1.00,4.00,910.00,850.00,1190.00,910.00,2.50,5.00,18.00,5.00,12.00,14.00,12.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,19.00,31.00,6.00,5.00,5.00,5.00,8.00,15.00
2511.00,3.00,50.00,4.00,27541.64,0.00,50.00,1.00,4.00,910.00,850.00,1190.00,910.00,2.50,5.00,18.00,5.00,12.00,14.00,12.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,19.00,31.00,6.00,5.00,5.00,5.00,8.00,15.00
3780.00,1.00,100.00,2.00,75562.87,0.00,80.00,1.00,2.00,2388.00,700.00,2460.00,2388.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,42.00,31.00,7.00,7.00,3.00,9.00,7.00,15.00
2482.00,3.00,50.00,1.00,235639.06,8.15,52.90,0.60,0.28,910.00,850.00,1190.00,910.00,2.50,5.00,18.00,5.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,19.00,31.00,6.00,5.00,5.00,8.00,8.00,15.00
3692.00,1.00,100.00,2.00,75562.87,0.00,80.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
2777.00,1.00,59.36,2.00,104346.45,2.00,60.00,0.89,2.00,290.00,0.00,245.00,290.00,0.00,5.00,18.00,2.00,17.00,6.00,17.00,6.00,1.00,1.00,3.00,3.00,42.00,4.00,1.00,10.00,21.00,2.00,2.00,2.00,2.00,2.00,3.00
2874.00,1.00,100.00,1.00,301074.14,8.01,60.70,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,42.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
