OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,样点编号,用途,乡镇名称,样点地价,最近路距,Id,面积,评价,作用分,级别,区域,名称,功能分,规划用途,开发程度,等级,Id_1,规划用途_1,面积_1,开发程度_1,折现年份,设定功能分,贴现系数,折现分数,等级_1,分类,主要区域,作用半径,OBJECTID_1,服务半径,ET_ID,容积率,用地类型,ET_Gaps,Id_12,道路名称,道路类型,长度,交通量预测,住宅道路类,商业道路类,工业道路类,住宅功能分,商业功能分,工业功能分,等级_12,作用半径_1,功能分_1,按城镇类型,按商业分,按住宅分,按工业分,商业指数,住宅指数,工业指数,道路服务水,道路长度,道路宽度,人行道宽,Id_12_13,作用分_1,作用半径_12,名称_1,级别_1,站点名称,功能分_12,作用分值,医院名称,等级_12_13,序号,医院名称_1,位置,所在区域（,占地面积（,建筑面积（,开办性质,等级_12_13_14,医院类型,医护人员数,有职称人员,科室数,病床数,年均门诊人,年均住院数,学校名称,办学类型_1,城乡类型,坐落,班级数_1,学生人数_1,教职工数,占地面积_1,教室（间_1,银行名称,窗口数,POINT_X,POINT_Y,TBBH,DLBM,DLMC,QSXZ,ZLDWDM,ZLDWMC,TBMJ,TBDLMJ,XZDWKD,CZCSXM,SJNF,BZ,SHAPE_Leng,xzdm,RuleID,分类_1,用途_1,区片,级别价,控规用途,容积率_1,距商服范围,距市场距离,距车站距离,距银行距离,距学校距离,距医疗距离,距文娱距离,商服评价,市场评价,车站评价,银行评价,学校评价,医疗评价,文娱评价,编号,级别价评估,区片价评估,测算容积率,评估用途,面积_公顷
21,5,21,1,21,0,21,0,21,z21,住宅用地,横州镇,3964,18.29465568,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630099.72,2510537.933,644,0701,城镇住宅用地,20,4501271000090000000,横州,21857.06232,21847.91,0,202,2019, ,1358.997301,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,450,750,50,100,400,350,优,较优,较劣,优,优,较优,较优,B4001,2460,2243,2.5,城镇住宅用地,2.18570623
22,5,22,1,22,0,22,0,22,z22,住宅用地,横州镇,3911,24.5665613,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629945.51,2510580.382,607,08H1,机关团体新闻出版用地,20,4501271000090000000,横州,6866.501064,6863.64,0,202,2019,102030,400.5507941,450127100,23,建设用地,公共管理与公共服务用地,一级,890,机关团体新闻出版用地,2.5-3.5,10,0,0,0,0,0,0,优, , , , , , ,B4018,890,0,3.5,机关团体新闻出版用地,0.68665011
23,4,23,1,23,0,23,0,23,z23,住宅用地,横州镇,3716,9.371389059,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,72364.26,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629866.73,2510722.612,591,08H1,机关团体新闻出版用地,20,4501271000090000000,横州,2304.650434,2303.69,0,202,2019, ,214.9674644,450127100,23,建设用地,公共管理与公共服务用地,一级,890,城镇住宅用地,1.5-2.5,50,450,650,250,100,300,150,优,较优,较劣,较优,优,较优,优,B4065,2460,2558,2.5,城镇住宅用地,0.23046504
24,5,24,1,24,0,24,0,24,z24,住宅用地,横州镇,4298,17.4181898,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,72364.26,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629862.14,2510702.003,591,08H1,机关团体新闻出版用地,20,4501271000090000000,横州,2304.650434,2303.69,0,202,2019, ,214.9674644,450127100,23,建设用地,公共管理与公共服务用地,一级,890,城镇住宅用地,1.5-2.5,50,450,650,250,100,300,150,优,较优,较劣,较优,优,较优,优,B4065,2460,2558,2.5,城镇住宅用地,0.23046504
25,5,25,1,25,0,25,0,25,z25,住宅用地,横州镇,4104,13.62469743,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,72364.26,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629861.02,2510681.748,588,0701,城镇住宅用地,20,4501271000090000000,横州,9882.814783,9878.7,0,202,2019,102030,496.0921812,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,350,550,150,50,200,200,优,较优,一般,优,优,优,优,B4057,2460,2558,2.5,城镇住宅用地,0.98828148
26,3,26,1,26,0,26,0,26,z26,住宅用地,横州镇,4201,5.603898103,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629858.56,2510539.49,613,0701,城镇住宅用地,20,4501271000090000000,横州,45220.87838,45202.02,0,202,2019,102030,1277.854479,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,200,550,50,50,300,150,优,优,一般,优,优,较优,优,B4020,2460,2558,2.5,城镇住宅用地,4.52208784
27,5,27,1,27,0,27,0,27,z27,住宅用地,横州镇,3996,11.15064491,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,72364.26,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629819.27,2510477.197,575,0701,城镇住宅用地,20,4501271000090000000,横州,44353.92578,44335.51,0,202,2019,102030,1387.229571,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,150,450,100,50,200,100,优,优,一般,优,优,优,优,B8358,2460,2558,2.5,城镇住宅用地,0.80419313
28,3,28,1,28,0,28,0,28,z28,住宅用地,横州镇,4137,3.041911839,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629843.95,2510460.954,596,05H1,商业服务业设施用地,20,4501271000090000000,横州,815.6026571,815.26,0,202,2019,102030,113.8825168,450127100,15,建设用地,商服用地,S101,4200,城镇住宅用地, ,10,250,550,200,150,300,200,优,优,一般,较优,优,较优,优,B3969,2460,2558,0,商业服务业设施用地,0.08156027
29,4,29,1,29,0,29,0,29,z29,住宅用地,横州镇,4502,9.749247751,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629803.98,2510262.485,577,0701,城镇住宅用地,20,4501271000090000000,横州,14686.66821,14680.57,0,202,2019,102030,625.1631994,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,10,300,50,250,200,50,优,优,较优,优,优,优,优,B3914,2460,2388,2.5,城镇住宅用地,1.46866682
30,4,30,1,30,0,30,0,30,z30,住宅用地,横州镇,4413,6.122426415,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629831.07,2510246.929,605,0701,城镇住宅用地,20,4501271000090000000,横州,32345.36662,32331.89,0,202,2019,102030,1445.544822,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,150,550,10,50,350,200,优,优,一般,优,优,较优,优,B3930,2460,2388,2.5,城镇住宅用地,2.47718767
31,4,31,1,31,0,31,0,31,z31,住宅用地,横州镇,4316,9.424030309,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629803.7,2510235.655,577,0701,城镇住宅用地,20,4501271000090000000,横州,14686.66821,14680.57,0,202,2019,102030,625.1631994,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,10,300,50,250,200,50,优,优,较优,优,优,优,优,B3914,2460,2388,2.5,城镇住宅用地,1.46866682
